Frame_No,LH_Hand_X,LH_Hand_Y,LH_Hand_Z,LH_Elbow_X,LH_Elbow_Y,LH_Elbow_Z,LH_Shoulder_X,LH_Shoulder_Y,LH_Shoulder_Z,RH_Hand_X,RH_Hand_Y,RH_Hand_Z,RH_Elbow_X,RH_Elbow_Y,RH_Elbow_Z,RH_Shoulder_X,RH_Shoulder_Y,RH_Shoulder_Z,Torso_X,Torso_Y,Torso_Z
224,       752,       731,      638,      761,      442,      1003,      792,      388,      1235,      969,      595,      789,      1051,      443,      1032,      1049,      393,      1233,      902,      547,      1296,      
225,       764,       595,      774,      764,      441,      1033,      792,      387,      1236,      973,      589,      800,      1050,      443,      1031,      1048,      393,      1233,      894,      546,      1296,      
226,       764,       595,      774,      764,      441,      1033,      792,      387,      1236,      973,      589,      800,      1050,      443,      1031,      1048,      393,      1233,      894,      546,      1296,      
227,       764,       595,      774,      764,      441,      1033,      792,      387,      1236,      973,      589,      800,      1050,      443,      1031,      1048,      393,      1233,      894,      546,      1296,      
228,       761,       718,      674,      767,      471,      987,      792,      388,      1235,      972,      596,      805,      1052,      444,      1037,      1048,      393,      1233,      896,      542,      1288,      
229,       761,       717,      677,      766,      470,      989,      791,      388,      1237,      975,      598,      805,      1052,      443,      1038,      1048,      393,      1233,      896,      542,      1288,      
230,       761,       717,      677,      766,      470,      989,      791,      388,      1237,      975,      598,      805,      1052,      443,      1038,      1048,      393,      1233,      896,      542,      1288,      
231,       760,       715,      678,      765,      469,      990,      791,      388,      1239,      974,      601,      802,      1052,      443,      1038,      1048,      393,      1233,      897,      542,      1287,      
232,       759,       716,      677,      764,      469,      989,      791,      388,      1238,      974,      605,      798,      1052,      443,      1038,      1048,      393,      1233,      897,      542,      1287,      
233,       759,       716,      678,      764,      469,      990,      791,      388,      1239,      979,      602,      803,      1052,      443,      1039,      1048,      393,      1233,      897,      542,      1287,      
234,       750,       629,      797,      764,      470,      990,      791,      388,      1239,      978,      600,      808,      1052,      443,      1040,      1048,      393,      1233,      897,      542,      1287,      
235,       750,       629,      797,      764,      470,      990,      791,      388,      1239,      978,      600,      808,      1052,      443,      1040,      1048,      393,      1233,      897,      542,      1287,      
236,       751,       628,      800,      761,      445,      1009,      790,      388,      1239,      979,      602,      807,      1052,      443,      1040,      1048,      393,      1233,      897,      541,      1287,      
237,       749,       629,      802,      761,      469,      991,      790,      388,      1240,      977,      600,      808,      1052,      443,      1041,      1048,      393,      1233,      897,      541,      1287,      
238,       749,       629,      803,      762,      469,      991,      790,      389,      1241,      979,      602,      805,      1052,      443,      1041,      1048,      393,      1234,      897,      541,      1287,      
239,       749,       629,      800,      759,      443,      1012,      790,      389,      1241,      975,      601,      807,      1052,      443,      1041,      1048,      393,      1234,      897,      541,      1287,      
240,       749,       629,      799,      763,      471,      993,      790,      389,      1242,      976,      610,      799,      1052,      443,      1041,      1048,      393,      1234,      897,      541,      1287,      
